codigo_ibge,nome_municipio,uf,uf_codigo,codigo_ibge_6,nome_norm,populacao,pib_total,taxa_desocupacao,total_internacoes,custo_total_internacoes,total_obitos_sim,pib_per_capita_calculado,taxa_internacao_por_10k,temp_max_cuiaba_c,temp_max_brasil_c,umidade_minima_pct,max_dias_consecutivos_40c,max_focos_calor_mt,meses_em_crise
5218003,Porangatu,GO,52.0,521800,PORANGATU,,,5.75,7704.0,8121305.1,291.0,,,42.6,42.6,10.0,7.0,2124.0,2
5218052,Porteirão,GO,52.0,521805,PORTEIRAO,,,5.75,682.0,922712.88,28.0,,,42.6,42.6,10.0,7.0,2124.0,2
5218102,Portelândia,GO,52.0,521810,PORTELANDIA,,,5.75,382.0,488231.64,26.0,,,42.6,42.6,10.0,7.0,2124.0,2
5218300,Posse,GO,52.0,521830,POSSE,,,5.75,5808.0,5090382.02,203.0,,,42.6,42.6,10.0,7.0,2124.0,2
5218391,Professor Jamil,GO,52.0,521839,PROFESSOR JAMIL,,,5.75,490.0,720417.1,32.0,,,42.6,42.6,10.0,7.0,2124.0,2
5218508,Quirinópolis,GO,52.0,521850,QUIRINOPOLIS,,,5.75,11160.0,8615323.9,380.0,,,42.6,42.6,10.0,7.0,2124.0,2
5218607,Rialma,GO,52.0,521860,RIALMA,,,5.75,2612.0,3449095.42,101.0,,,42.6,42.6,10.0,7.0,2124.0,2
5218706,Rianápolis,GO,52.0,521870,RIANAPOLIS,,,5.75,702.0,820660.98,42.0,,,42.6,42.6,10.0,7.0,2124.0,2
5218789,Rio Quente,GO,52.0,521878,RIO QUENTE,,,5.75,728.0,761186.38,24.0,,,42.6,42.6,10.0,7.0,2124.0,2
5218805,Rio Verde,GO,52.0,521880,RIO VERDE,,,5.75,32868.0,46843816.5,1349.0,,,42.6,42.6,10.0,7.0,2124.0,2
5218904,Rubiataba,GO,52.0,521890,RUBIATABA,,,5.75,3768.0,3834181.02,162.0,,,42.6,42.6,10.0,7.0,2124.0,2
5219001,Sanclerlândia,GO,52.0,521900,SANCLERLANDIA,,,5.75,1734.0,2246866.42,77.0,,,42.6,42.6,10.0,7.0,2124.0,2
5219100,Santa Bárbara de Goiás,GO,52.0,521910,SANTA BARBARA DE GOIAS,,,5.75,1032.0,1367450.28,71.0,,,42.6,42.6,10.0,7.0,2124.0,2
5219209,Santa Cruz de Goiás,GO,52.0,521920,SANTA CRUZ DE GOIAS,,,5.75,446.0,671157.5,23.0,,,42.6,42.6,10.0,7.0,2124.0,2
5219258,Santa Fé de Goiás,GO,52.0,521925,SANTA FE DE GOIAS,,,5.75,558.0,637973.26,41.0,,,42.6,42.6,10.0,7.0,2124.0,2
5219308,Santa Helena de Goiás,GO,52.0,521930,SANTA HELENA DE GOIAS,,,5.75,8246.0,10125777.3,308.0,,,42.6,42.6,10.0,7.0,2124.0,2
5219357,Santa Isabel,GO,52.0,521935,SANTA ISABEL,,,5.75,544.0,723355.82,38.0,,,42.6,42.6,10.0,7.0,2124.0,2
5219407,Santa Rita do Araguaia,GO,52.0,521940,SANTA RITA DO ARAGUAIA,,,5.75,584.0,846698.92,50.0,,,42.6,42.6,10.0,7.0,2124.0,2
5219456,Santa Rita do Novo Destino,GO,52.0,521945,SANTA RITA DO NOVO DESTINO,,,5.75,278.0,405877.46,14.0,,,42.6,42.6,10.0,7.0,2124.0,2
5219506,Santa Rosa de Goiás,GO,52.0,521950,SANTA ROSA DE GOIAS,,,5.75,594.0,953194.44,44.0,,,42.6,42.6,10.0,7.0,2124.0,2
5219605,Santa Tereza de Goiás,GO,52.0,521960,SANTA TEREZA DE GOIAS,,,5.75,806.0,1022801.82,38.0,,,42.6,42.6,10.0,7.0,2124.0,2
5219704,Santa Terezinha de Goiás,GO,52.0,521970,SANTA TEREZINHA DE GOIAS,,,5.75,1858.0,2205691.8,88.0,,,42.6,42.6,10.0,7.0,2124.0,2
5219712,Santo Antônio da Barra,GO,52.0,521971,SANTO ANTONIO DA BARRA,,,5.75,432.0,692614.24,40.0,,,42.6,42.6,10.0,7.0,2124.0,2
5219738,Santo Antônio de Goiás,GO,52.0,521973,SANTO ANTONIO DE GOIAS,,,5.75,1420.0,2114219.86,52.0,,,42.6,42.6,10.0,7.0,2124.0,2
5219753,Santo Antônio do Descoberto,GO,52.0,521975,SANTO ANTONIO DO DESCOBERTO,,,5.75,5992.0,7175507.4,331.0,,,42.6,42.6,10.0,7.0,2124.0,2
5219803,São Domingos,GO,52.0,521980,SAO DOMINGOS,,,5.75,1532.0,1127315.04,64.0,,,42.6,42.6,10.0,7.0,2124.0,2
5219902,São Francisco de Goiás,GO,52.0,521990,SAO FRANCISCO DE GOIAS,,,5.75,788.0,1390518.58,55.0,,,42.6,42.6,10.0,7.0,2124.0,2
5220009,São João d'Aliança,GO,52.0,522000,SAO JOAO D'ALIANCA,,,5.75,1034.0,1253790.3,56.0,,,42.6,42.6,10.0,7.0,2124.0,2
5220058,São João da Paraúna,GO,52.0,522005,SAO JOAO DA PARAUNA,,,5.75,268.0,481677.58,17.0,,,42.6,42.6,10.0,7.0,2124.0,2
5220108,São Luís de Montes Belos,GO,52.0,522010,SAO LUIS DE MONTES BELOS,,,5.75,5966.0,7908999.06,295.0,,,42.6,42.6,10.0,7.0,2124.0,2
5220157,São Luiz do Norte,GO,52.0,522015,SAO LUIZ DO NORTE,,,5.75,1134.0,1546888.32,48.0,,,42.6,42.6,10.0,7.0,2124.0,2
5220207,São Miguel do Araguaia,GO,52.0,522020,SAO MIGUEL DO ARAGUAIA,,,5.75,10356.0,4221863.94,187.0,,,42.6,42.6,10.0,7.0,2124.0,2
5220264,São Miguel do Passa Quatro,GO,52.0,522026,SAO MIGUEL DO PASSA QUATRO,,,5.75,454.0,824646.18,53.0,,,42.6,42.6,10.0,7.0,2124.0,2
5220280,São Patrício,GO,52.0,522028,SAO PATRICIO,,,5.75,246.0,346264.5,17.0,,,42.6,42.6,10.0,7.0,2124.0,2
